SampleID;Latitude;Longitude;Locality;Reference;Sampling_effort;Traps;Study_year;Country;Ecorregion;Vegetation_type;Division;;;;;;;;;;;;;;
1;-6.74000;-35.14583;Reserva Biological Guaribas;P. Cordeiro-Estrela unpublished data;2900;sherman, wire-mesh, pitfall;2014;Brazil;Pernambuco interior forest;Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
2;-6.74000;-35.14583;Reserva Biological Guaribas;P. Cordeiro-Estrela unpublished data;2900;sherman, wire-mesh, pitfall;2015;Brazil;Pernambuco interior forest;Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
3;-7.59083;-35.49083;São Vicente Férrer;Lima et al. 2013;1920;wire-mesh (2 sizes);2003;Brazil;Caatinga;Steppe/Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
4;-7.59083;-35.49083;São Vicente Férrer;Lima et al. 2013;2560;wire-mesh (2 sizes);2006;Brazil;Caatinga;Steppe/Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
5;-7.89167;-35.17667;Campo de Instrução Marechal Newton Cavalcanti, Paudalho;P. Asfora, D. Astúa and L. Geise unpublished data;2410;sherman, wire-mesh, pitfall;2008;Brazil;Pernambuco interior forest;Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
6;-7.93694;-35.02643;região metropolitana de Recife;Dantas-Torres et al. 2012;25231;sherman, wire-mesh;2007-2009;Brazil;Pernambuco coastal forest;Open ombrophilous forest;Pernambuco;;;;;;;;;;;;;;
7;-7.94000;-34.87222;Estação Ecológica de Caetés, Paulista;P. Asfora, D. Astúa and L. Geise unpublished data;2981;sherman, wire-mesh, pitfall;2008;Brazil;Southern Atlantic mangrooves;Fluviomarine-influenced pioneer formation area;Pernambuco;;;;;;;;;;;;;;
8;-8.00333;-35.02139;Estação Ecológica de Tapacurá, São Lourenço da Mata;P. Asfora, D. Astúa and L. Geise unpublished data;2446;sherman, wire-mesh;2008;Brazil;Pernambuco coastal forest;Open ombrophilous forest;Pernambuco;;;;;;;;;;;;;;
9;-8.02028;-34.98167;Condomínio Chã da Peroba, Aldeia, Camaragibe;P. Asfora, D. Astúa and L. Geise unpublished data;1100;sherman, wire-mesh;2008;Brazil;Pernambuco coastal forest;Open ombrophilous forest;Pernambuco;;;;;;;;;;;;;;
10;-8.05417;-34.88111;Parque Estadual Dois Irmãos, Recife;P. Asfora, D. Astúa and L. Geise unpublished data;6882;sherman, wire-mesh, pitfall;2008;Brazil;Southern Atlantic mangrooves;Fluviomarine-influenced pioneer formation area;Pernambuco;;;;;;;;;;;;;;
11;-8.25000;-35.08333;Reserva Ecológica Gurjaú;Asfora & Pontes 2009;2000;wire-mesh;2003;Brazil;Pernambuco coastal forest;Dense ombrophilous forest;Pernambuco;;;;;;;;;;;;;;
12;-8.36639;-36.02667;Parque Ecológico Municipal Professor João Vasconcelos Sobrinho;Sousa et al. 2004;5040;sherman, wire-mesh;1997-1998;Brazil;Caatinga;Steppe/Semideciduous seasonal forest;Northeastern Brejos;;;;;;;;;;;;;;
13;-8.38278;-35.45278;Amaraji;Brandão-Filho et al. 2003;4200;wire-mesh (2 sizes);1996-2000;Brazil;Pernambuco coastal forest;Open ombrophilous forest;Pernambuco;;;;;;;;;;;;;;
14;-8.71028;-35.83361;Reserva Particular do Patrimônio Natural Frei Caneca, Jaqueira;Asfora & Pontes 2009;2000;wire-mesh;2003;Brazil;Pernambuco interior forest;Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
15;-8.72139;-35.84361;Reserva Particular do Patrimônio Natural Frei Caneca, Jaqueira;P. Asfora, D. Astúa and L. Geise unpublished data;1595;sherman, wire-mesh;2008;Brazil;Pernambuco interior forest;Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
16;-9.00000;-35.87000;Moinho Serra Grande;Asfora & Pontes 2009;800;wire-mesh;2003;Brazil;Pernambuco coastal forest;Open ombrophilous forest;Pernambuco;;;;;;;;;;;;;;
17;-11.25000;-37.41667;Estância;Stevens & Husband 1998;12288;sherman, wire-mesh;1993;Brazil;Pernambuco interior forest;Semideciduous seasonal forest;Bahia;;;;;;;;;;;;;;
18;-12.72778;-41.31389;Chapada Diamantina;Pereira & Geise 2009;8170;sherman, wire-mesh, pitfall;2002 / 2004;Brazil;Atlantic dry forests;Semideciduous seasonal forest;Diamantina;;;;;;;;;;;;;;
19;-12.72800;-39.77958;Morro do Tyresoles, Milagres;G. Ximenez unpublished data;1350;sherman, wire-mesh;2011;Brazil;Bahia interior forest;Steppe/Deciduous seasonal forest;Diamantina;;;;;;;;;;;;;;
20;-12.85715;-39.46568;Reserva Particular do Patrimônio Natural Guarirú;Carvalho & Oliveira 2015;1636;sherman, wire-mesh, pitfall;2012-2013;Brazil;Bahia interior forest;Semideciduous seasonal forest;Diamantina;;;;;;;;;;;;;;
21;-12.96017;-39.44903;Fazenda do Sr. Getúlio, Serra da Jibóia, Varzedo;G. Ximenez unpublished data;560;sherman, wire-mesh, pitfall;2011;Brazil;Bahia coastal forest;Dense ombrophilous forest;Diamantina;;;;;;;;;;;;;;
22;-13.83333;-39.16667;Reserva Ecológica da Michelin – REM/Pacada Grande, Igrapiúna/Ituberá;G. Ximenez unpublished data;9600;sherman, wire-mesh, pitfall;2008-2009;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
23;-13.84800;-39.28400;Pratigi, Igrapiuna;Alvarez, M.R. and P. Cordeiro-Estrela unpublished data;2900;sherman, wire-mesh, pitfall;2014;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
24;-13.84800;-39.28400;Pratigi, Igrapiuna;Alvarez, M.R. and P. Cordeiro-Estrela unpublished data;2900;sherman, wire-mesh, pitfall;2015;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
25;-14.65000;-39.15000;Almada/Urucutuca;"Laemmert et al. 1946; Vaz 2005";13809;sherman, wire-mesh (2 sizes), guillotine;1943-1945;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
26;-14.68500;-39.16200;Uruçucá, Ilheus;Silva 2016;1134;sherman, wire-mesh, pitfall;2015;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
27;-14.80600;-39.03900;Ilheus (urban fragment);Ribeiro 2014;617;sherman, wire-mesh;2014;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
28;-14.88335;-39.17500;Fortuna/Pirataquisse;"Laemmert et al. 1946; Vaz 2005";19099;sherman, wire-mesh (2 sizes), guillotine;1943-1945;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
29;-15.17306;-39.13222;Sul da Bahia;Pardini 2004;46656;sherman, pitfall;1998-2000;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
30;-15.20639;-39.16583;Fazenda Jueirana;Moura 1999;3760;sherman, wire-mesh;1997-1998;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
31;-15.24900;-39.07900;Reserva Biológica de Una;Moura 1999;3760;sherman, wire-mesh;1997-1998;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
32;-15.24900;-39.07900;Reserva Biológica de Una;García 2015;4320;sherman, wire-mesh;2013-2014;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
33;-15.24900;-39.07900;Reserva Biológica de Una;García 2015;5040;sherman, wire-mesh, pitfall;2015;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
34;-15.89500;-39.23800;Belmonte e Mascote;García 2015;3600;sherman, wire-mesh;2013-2014;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
35;-15.89500;-39.23800;Belmonte e Mascote;García 2015;4200;sherman, wire-mesh, pitfall;2015;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
