ID;Original_Species;Actual_Species;Abundance
1;Calomys expulsus;Calomys expulsus;1
1;Cerradomys langguthi;Cerradomys langguthi;1
1;Didelphis albiventris;Didelphis albiventris;12
1;Gracilinanus sp.;Gracilinanus sp.;1
1;Marmosa demerarae;Marmosa demerarae;5
1;Monodelphis domestica;Monodelphis domestica;4
1;Necromys lasiurus;Necromys lasiurus;2
1;Nectomys rattus;Nectomys rattus;8
2;Cerradomys langguthi;Cerradomys langguthi;1
2;Didelphis albiventris;Didelphis albiventris;27
2;Galea spixii;Galea spixii;1
2;Gracilinanus sp.;Gracilinanus sp.;2
2;Marmosa demerarae;Marmosa demerarae;1
2;Marmosa murina;Marmosa murina;1
2;Necromys lasiurus;Necromys lasiurus;1
2;Nectomys rattus;Nectomys rattus;4
3;Necromys lasiurus;Necromys lasiurus;1
3;Holochilus sciureus;Holochilus sciureus;1
3;Nectomys squamipes;Nectomys squamipes;13
3;Cerradomys subflavus;Cerradomys subflavus;1
3;Rattus rattus;Rattus rattus;5
3;Galea spixii;Galea spixii;1
3;Didelphis albiventris;Didelphis albiventris;16
3;Marmosa sp.;Marmosa murina;4
3;Monodelphis domestica;Monodelphis domestica;4
4;Necromys lasiurus;Necromys lasiurus;7
4;Holochilus sciureus;Holochilus sciureus;19
4;Nectomys squamipes;Nectomys squamipes;46
4;Cerradomys subflavus;Cerradomys subflavus;9
4;Rattus rattus;Rattus rattus;36
4;Galea spixii;Galea spixii;1
5;Akodon cursor ;Akodon cursor;5
5;Cerradomys langguthi;Cerradomys langguthi;1
5;Didelphis albiventris;Didelphis albiventris;2
5;Didelphis aurita;Didelphis aurita;10
5;Galea spixii;Galea spixii;1
5;Micoureus demerarae;Marmosa demerarae;1
5;Marmosa murina;Marmosa murina;5
5;Metachirus nudicaudatus;Metachirus nudicaudatus;4
5;Monodelphis americana;Monodelphis americana;5
5;Monodelphis domestica;Monodelphis domestica;4
5;Necromys lasiurus;Necromys lasiurus;2
5;Nectomys rattus;Nectomys rattus;4
5;Oecomys catherinae;Oecomys catherinae;1
5;Oligoryzomys fornesi;Oligoryzomys fornesi;1
5;Oxymycterus angularis;Oxymycterus angularis;4
5;Phyllomys sp.;Phyllomys sp.;1
5;Thrichomys laurentius;Thrichomys laurentius;1
6;Cerradomys subflavus;Cerradomys langguthi;6
6;Didelphis albiventris;Didelphis albiventris;60
6;Didelphis aurita;Didelphis aurita;26
6;Micoureus demerarae;Marmosa demerarae;49
6;Marmosa murina;Marmosa murina;67
6;Metachirus nudicaudatus;Metachirus nudicaudatus;23
6;Monodelphis domestica;Monodelphis domestica;16
6;Nectomys rattus;Nectomys rattus;28
6;Guerlinguetus alphonsei;Sciurus aestuans;1
6;Thrichomys laurentius;Thrichomys laurentius;105
7;Didelphis albiventris;Didelphis albiventris;1
7;Didelphis aurita;Didelphis aurita;3
7;Micoureus demerarae;Marmosa demerarae;12
7;Marmosa murina;Marmosa murina;3
7;Metachirus nudicaudatus;Metachirus nudicaudatus;4
7;Nectomys rattus;Nectomys rattus;13
7;Rhipidomys mastacalis;Rhipidomys mastacalis;1
8;Caluromys philander;Caluromys philander;1
8;Cerradomys langguthi;Cerradomys langguthi;2
8;Cryptonanus agricolai;Cryptonanus agricolai;1
8;Didelphis albiventris;Didelphis albiventris;4
8;Holochilus sciureus;Holochilus sciureus;2
8;Micoureus demerarae;Marmosa demerarae;7
8;Marmosa murina;Marmosa murina;19
8;Monodelphis domestica;Monodelphis domestica;13
